  LON(deg)  LAT(deg)   Z(km)    VPB%  V(km/s)
   44.0000   16.0000  -20.00   -0.07    6.49
   44.0000   15.5000  -20.00   -1.84    6.27
   44.0000   15.0000  -20.00    3.00    7.00
   44.0000   14.5000  -20.00    0.30    6.54
   44.0000   14.0000  -20.00   -0.17    6.48
   44.0000   13.5000  -20.00   -0.68    6.41
   44.0000   13.0000  -20.00    3.00    6.94
   44.0000   12.5000  -20.00    3.00    7.18
   44.0000   12.0000  -20.00    3.00    6.93
   44.0000   11.5000  -20.00   -2.91    6.13
   44.5000   15.0000  -20.00    0.92    6.62
   44.5000   14.5000  -20.00   -3.00    6.11
   44.5000   14.0000  -20.00   -0.70    6.41
   44.5000   13.5000  -20.00   -0.22    6.47
   44.5000   13.0000  -20.00    2.13    6.78
   44.5000   12.5000  -20.00    3.00    7.12
   44.5000   12.0000  -20.00    3.00    7.21
   44.5000   11.5000  -20.00    0.93    6.62
   45.0000   15.0000  -20.00    0.04    6.51
   45.0000   14.5000  -20.00    0.12    6.52
   45.0000   14.0000  -20.00   -1.04    6.37
   45.0000   13.5000  -20.00   -0.75    6.40
   45.0000   13.0000  -20.00   -0.54    6.43
   45.0000   12.5000  -20.00   -1.59    6.30
   45.0000   12.0000  -20.00   -3.00    6.08
   45.0000   11.5000  -20.00   -1.06    6.36
   45.5000   15.0000  -20.00    0.02    6.50
   45.5000   14.5000  -20.00   -0.68    6.41
   45.5000   14.0000  -20.00   -3.00    6.11
   45.5000   13.5000  -20.00   -0.76    6.40
   45.5000   13.0000  -20.00   -0.10    6.49
   45.5000   12.5000  -20.00   -2.10    6.23
   45.5000   12.0000  -20.00    3.00    7.01
   45.5000   11.5000  -20.00   -0.05    6.49
   46.0000   13.5000  -20.00    0.13    6.52
   46.0000   12.0000  -20.00    3.00    7.21
   46.0000   11.5000  -20.00   -0.44    6.44
   46.5000   12.0000  -20.00    0.58    6.58
   46.5000   11.5000  -20.00   -0.04    6.49
   40.5000   12.0000  -25.00    0.68    6.59
   41.0000   12.0000  -25.00    0.20    6.53
   42.0000   14.5000  -25.00   -0.43    6.44
   42.5000   14.0000  -25.00   -0.19    6.48
   42.5000   11.5000  -25.00    1.44    6.69
   42.5000   11.0000  -25.00    0.06    6.51
   43.0000   13.5000  -25.00   -0.26    6.47
   43.0000   12.0000  -25.00   -0.34    6.46
   43.0000   11.5000  -25.00    3.00    6.94
   43.0000   11.0000  -25.00    0.10    6.51
   43.5000   15.0000  -25.00    0.32    6.54
   43.5000   14.5000  -25.00    0.11    6.51
   43.5000   14.0000  -25.00   -1.06    6.36
   43.5000   13.5000  -25.00   -0.24    6.47
   43.5000   13.0000  -25.00   -0.15    6.48
   43.5000   12.5000  -25.00   -0.41    6.45
   43.5000   12.0000  -25.00   -1.87    6.26
   43.5000   11.5000  -25.00   -1.05    6.36
   44.0000   15.0000  -25.00    0.33    6.54
   44.0000   14.5000  -25.00   -0.13    6.48
   44.0000   14.0000  -25.00   -0.73    6.41
   44.0000   13.5000  -25.00   -0.80    6.40
   44.0000   13.0000  -25.00   -0.33    6.46
   44.0000   12.5000  -25.00    0.76    6.60
   44.0000   12.0000  -25.00   -0.21    6.47
   44.0000   11.5000  -25.00   -0.12    6.48
   44.5000   14.0000  -25.00   -0.18    6.48
   44.5000   13.5000  -25.00   -0.07    6.49
   44.5000   13.0000  -25.00    0.18    6.52
   44.5000   12.5000  -25.00    1.89    6.75
   44.5000   12.0000  -25.00   -0.33    6.46
   45.0000   13.5000  -25.00   -0.50    6.44
   45.0000   13.0000  -25.00   -0.18    6.48
   45.0000   12.5000  -25.00   -0.24    6.47
   45.0000   12.0000  -25.00   -0.44    6.44
   45.5000   13.5000  -25.00   -0.55    6.43
   45.5000   12.0000  -25.00   -0.25    6.47
   46.0000   12.0000  -25.00   -0.62    6.42
   39.0000    9.0000  -30.00   -0.00    6.50
   40.0000   13.0000  -30.00    0.00    6.50
   40.5000   12.0000  -30.00    0.14    6.52
   41.0000   12.0000  -30.00    0.05    6.51
   42.0000   14.5000  -30.00   -0.80    6.40
   42.5000   14.5000  -30.00   -0.12    6.48
   42.5000   11.5000  -30.00    0.00    6.50
   43.0000   13.5000  -30.00   -0.06    6.49
   43.0000   12.0000  -30.00   -0.35    6.45
   43.0000   11.5000  -30.00   -0.01    6.50
   43.5000   15.0000  -30.00   -0.04    6.49
   43.5000   13.5000  -30.00   -0.26    6.47
   43.5000   13.0000  -30.00   -0.06    6.49
   43.5000   12.5000  -30.00   -0.08    6.49
   43.5000   12.0000  -30.00   -0.73    6.41
   43.5000   11.5000  -30.00   -0.11    6.49
   44.0000   15.0000  -30.00   -0.07    6.49
   44.0000   14.5000  -30.00   -0.79    6.40
   44.0000   14.0000  -30.00   -0.62    6.42
   44.0000   13.5000  -30.00   -0.83    6.39
   44.0000   13.0000  -30.00   -0.43    6.44
   44.0000   12.5000  -30.00   -0.09    6.49
   44.0000   12.0000  -30.00   -0.51    6.43
   44.0000   11.5000  -30.00   -0.05    6.49
