  LON(deg)  LAT(deg)   Z(km)    VPB%  V(km/s)
   41.0000    9.0000  -20.00   -2.72    6.15
   41.5000   16.5000  -20.00   -1.30    6.33
   41.5000   16.0000  -20.00    3.00    6.92
   41.5000   15.5000  -20.00   -3.00    6.03
   41.5000   15.0000  -20.00    3.00    6.99
   41.5000   14.5000  -20.00   -2.29    6.20
   41.5000   14.0000  -20.00    2.11    6.78
   41.5000   13.5000  -20.00   -3.00    6.70
   41.5000   13.0000  -20.00    2.18    6.79
   41.5000   12.5000  -20.00   -2.66    6.16
   41.5000   12.0000  -20.00    3.00    7.19
   41.5000   11.5000  -20.00   -1.58    6.61
   41.5000   11.0000  -20.00    3.00    7.08
   41.5000   10.5000  -20.00   -2.33    6.20
   41.5000   10.0000  -20.00    2.97    6.89
   41.5000    9.5000  -20.00   -2.63    6.16
   42.0000   16.5000  -20.00    3.00    7.27
   42.0000   16.0000  -20.00   -3.00    6.09
   42.0000   15.5000  -20.00    2.80    6.87
   42.0000   15.0000  -20.00   -3.00    6.80
   42.0000   14.5000  -20.00    3.00    7.07
   42.0000   14.0000  -20.00   -0.89    6.38
   42.0000   13.5000  -20.00    3.00    7.41
   42.0000   13.0000  -20.00   -3.00    5.86
   42.0000   12.5000  -20.00    3.00    6.92
   42.0000   12.0000  -20.00   -0.81    6.39
   42.0000   11.5000  -20.00    3.00    7.25
   42.0000   11.0000  -20.00   -2.39    6.19
   42.0000    9.5000  -20.00    2.72    6.86
   42.5000   16.5000  -20.00   -2.40    6.19
   42.5000   15.0000  -20.00    3.00    7.32
   42.5000   14.5000  -20.00   -3.00    5.83
   42.5000   14.0000  -20.00    2.57    6.84
   42.5000   13.5000  -20.00   -3.00    6.08
   42.5000   12.0000  -20.00    3.00    6.98
   42.5000   11.5000  -20.00   -1.36    6.59
   42.5000   11.0000  -20.00    3.00    7.01
   42.5000   10.5000  -20.00   -3.00    6.11
   42.5000   10.0000  -20.00    3.00    6.93
   42.5000    9.5000  -20.00   -3.00    6.12
   43.0000   16.5000  -20.00    2.86    6.88
   43.0000   16.0000  -20.00   -2.17    6.22
   43.0000   15.5000  -20.00    3.00    6.97
   43.0000   15.0000  -20.00   -3.00    6.11
   43.0000   14.5000  -20.00    2.53    6.83
   43.0000   14.0000  -20.00   -3.00    5.94
   43.0000   13.5000  -20.00    1.20    6.66
   43.0000   12.0000  -20.00   -1.60    6.61
   43.0000   11.5000  -20.00    3.00    7.24
   43.0000   11.0000  -20.00   -1.47    6.31
   43.0000   10.5000  -20.00    1.64    6.71
   43.0000   10.0000  -20.00   -0.81    6.55
   43.0000    9.5000  -20.00    3.00    6.92
   43.5000   16.5000  -20.00   -3.00    6.09
   43.5000   16.0000  -20.00    3.00    7.00
   43.5000   15.5000  -20.00   -3.00    5.85
   43.5000   15.0000  -20.00    3.00    6.93
   43.5000   14.5000  -20.00   -2.62    6.16
   43.5000   14.0000  -20.00    1.24    6.66
   43.5000   13.5000  -20.00   -3.00    6.06
   43.5000   13.0000  -20.00    1.77    6.73
   43.5000   12.5000  -20.00   -3.00    5.96
   43.5000   12.0000  -20.00    3.00    7.41
   43.5000   11.5000  -20.00   -2.46    6.18
   43.5000   11.0000  -20.00    3.00    6.91
   43.5000   10.5000  -20.00   -3.00    6.09
   43.5000   10.0000  -20.00    3.00    7.00
   43.5000    9.5000  -20.00   -2.91    6.13
   44.0000   16.5000  -20.00    2.62    6.84
   44.0000   16.0000  -20.00   -3.00    6.11
   44.0000   15.5000  -20.00    1.00    6.63
   44.0000   15.0000  -20.00   -1.16    6.58
   44.0000   14.5000  -20.00    3.00    6.95
   44.0000   14.0000  -20.00   -2.40    6.19
   44.0000   13.5000  -20.00    1.94    6.75
   44.0000   13.0000  -20.00   -0.43    6.53
   44.0000   12.5000  -20.00    3.00    7.37
   44.0000   12.0000  -20.00   -0.50    6.53
   44.0000   11.5000  -20.00    0.56    6.57
   44.5000   15.0000  -20.00    3.00    6.96
   44.5000   14.5000  -20.00   -3.00    5.95
   44.5000   14.0000  -20.00    2.50    6.83
   44.5000   13.5000  -20.00   -3.00    6.10
   44.5000   13.0000  -20.00    3.00    7.02
   44.5000   12.5000  -20.00   -2.59    6.67
   44.5000   12.0000  -20.00    3.00    7.41
   44.5000   11.5000  -20.00   -2.32    6.20
   45.0000   15.0000  -20.00   -3.00    6.12
   45.0000   14.5000  -20.00    3.00    6.90
   45.0000   14.0000  -20.00   -3.00    6.07
   45.0000   13.5000  -20.00    2.19    6.79
   45.0000   13.0000  -20.00   -3.00    6.11
   45.0000   12.5000  -20.00    1.45    6.69
   45.0000   12.0000  -20.00   -3.00    5.89
   45.0000   11.5000  -20.00    1.95    6.75
   45.5000   15.0000  -20.00    2.97    6.89
   45.5000   14.5000  -20.00   -3.00    6.07
   45.5000   14.0000  -20.00    1.82    6.39
   45.5000   13.5000  -20.00   -3.00    6.06
   45.5000   13.0000  -20.00    2.89    6.88
   45.5000   12.5000  -20.00   -3.00    6.01
   45.5000   12.0000  -20.00    3.00    7.22
   45.5000   11.5000  -20.00   -3.00    6.11
   46.0000   13.5000  -20.00    3.00    6.91
   46.0000   12.0000  -20.00   -3.00    6.80
   46.0000   11.5000  -20.00    2.58    6.84
   46.5000   12.0000  -20.00    3.00    6.94
   46.5000   11.5000  -20.00   -3.00    6.11
   40.5000   12.0000  -25.00   -2.35    6.20
   41.0000   12.0000  -25.00    3.00    6.91
   42.0000   14.5000  -25.00   -3.00    6.09
   42.5000   14.0000  -25.00   -3.00    6.10
   42.5000   11.5000  -25.00    3.00    6.98
   42.5000   11.0000  -25.00   -2.95    6.12
   43.0000   13.5000  -25.00   -3.00    6.10
   43.0000   12.0000  -25.00    2.63    6.85
   43.0000   11.5000  -25.00   -0.15    6.48
   43.0000   11.0000  -25.00    3.00    6.90
   43.5000   15.0000  -25.00   -2.76    6.15
   43.5000   14.5000  -25.00    3.00    6.91
   43.5000   14.0000  -25.00   -3.00    6.06
   43.5000   13.5000  -25.00    2.78    6.87
   43.5000   13.0000  -25.00   -3.00    6.11
   43.5000   12.5000  -25.00    2.63    6.85
   43.5000   12.0000  -25.00   -3.00    6.02
   43.5000   11.5000  -25.00    1.93    6.75
   44.0000   15.0000  -25.00    3.00    6.92
   44.0000   14.5000  -25.00   -3.00    6.11
   44.0000   14.0000  -25.00    2.32    6.80
   44.0000   13.5000  -25.00   -3.00    6.07
   44.0000   13.0000  -25.00    2.78    6.87
   44.0000   12.5000  -25.00   -2.25    6.21
   44.0000   12.0000  -25.00    2.90    6.88
   44.0000   11.5000  -25.00   -3.00    6.11
   44.5000   14.0000  -25.00   -3.00    6.10
   44.5000   13.5000  -25.00    2.93    6.89
   44.5000   13.0000  -25.00   -3.00    6.11
   44.5000   12.5000  -25.00    3.00    7.00
   44.5000   12.0000  -25.00   -3.00    6.10
   45.0000   13.5000  -25.00   -3.00    6.09
   45.0000   13.0000  -25.00    2.79    6.87
   45.0000   12.5000  -25.00   -3.00    6.10
   45.0000   12.0000  -25.00    2.58    6.84
   45.5000   13.5000  -25.00    2.42    6.82
   45.5000   12.0000  -25.00   -3.00    6.10
   46.0000   12.0000  -25.00    2.41    6.82
   39.0000    9.0000  -30.00   -3.00    6.12
   40.0000   13.0000  -30.00   -3.00    6.12
   40.5000   12.0000  -30.00    3.00    6.91
   41.0000   12.0000  -30.00   -2.95    6.12
   42.0000   14.5000  -30.00    2.22    6.79
   42.5000   14.5000  -30.00   -3.00    6.11
   42.5000   11.5000  -30.00   -3.00    6.12
   43.0000   13.5000  -30.00    2.95    6.89
   43.0000   12.0000  -30.00   -3.00    6.10
   43.0000   11.5000  -30.00    2.99    6.89
   43.5000   15.0000  -30.00    2.95    6.89
   43.5000   13.5000  -30.00   -3.00    6.10
   43.5000   13.0000  -30.00    2.94    6.89
   43.5000   12.5000  -30.00   -3.00    6.11
   43.5000   12.0000  -30.00    2.32    6.80
   43.5000   11.5000  -30.00   -3.00    6.11
   44.0000   15.0000  -30.00   -3.00    6.11
   44.0000   14.5000  -30.00    2.21    6.79
   44.0000   14.0000  -30.00   -3.00    6.08
   44.0000   13.5000  -30.00    2.24    6.79
   44.0000   13.0000  -30.00   -3.00    6.09
   44.0000   12.5000  -30.00    2.93    6.89
   44.0000   12.0000  -30.00   -3.00    6.08
