STN   LAT(DEG)  LON(DEG) ELV(KM)  N90 N180 N270 N360 NARV  AV90 AV180 AV270 AV360  AVRC  AVRR COUNTRY, CITY
QATE    9.3753   41.4691   2.148    0    0    0    6    6  0.00  0.00  0.00 -1.16 -1.16 -0.80 Ethiopia, Kobo                          
RADA   14.4390   44.8530   2.353    0    0    2    1    3  0.00  0.00 -2.51  0.47 -1.51 -1.70 Yemen, Ahram                            
RODE   12.8415   40.9826   0.047    0    2    4    0    6  0.00  1.00 -2.53  0.00 -1.35 -1.43 Ethiopia, Road                          
SADA   16.9330   43.7500   1.850    0    2    5    0    7  0.00  0.08  0.75  0.00  0.56  1.17 Yemen, Sad`ah                           
SANA   15.3870   44.2050   2.280    1    7   57    3   68  0.92 -0.26 -0.90  0.41 -0.75 -0.80 Yemen, San`a                            
SEHE   12.0401   40.9769   0.358    6   30    0   10   46 -1.25 -0.81  0.00 -1.65 -1.05 -1.27 Ethiopia, Saha                          
SEKE   12.6217   39.0334   2.264    3    9    0    0   12 -1.24 -1.46  0.00  0.00 -1.40 -1.83 Ethiopia, Sekot                         
SENE    9.1466   39.0166   2.560    2    0    0    0    2 -0.22  0.00  0.00  0.00 -0.22  0.00 Ethiopia, Ethiopia-Afar                 
SGH    11.4370   42.6307   0.700  104    6    8   50  168 -1.09 -0.98 -1.31 -1.05 -1.08 -1.15 Djibouti, Sud-Ghoubbet                  
SMRE   13.1977   39.2111   1.977    2    3    0    0    5 -0.23 -1.56  0.00  0.00 -1.03 -1.14 Ethiopia, Semr                          
SRDE   11.9579   41.3100   0.392    3    0    0   10   13 -1.32  0.00  0.00 -1.62 -1.55 -1.85 Ethiopia, Serd                          
TDD    11.8037   42.9070   0.110   86   15   10   40  151 -0.67 -0.99 -0.88 -1.12 -0.83 -0.99 Djibouti, Tadjoura                      
TDJ    11.7955   42.8888   0.060    0    1    1    4    6  0.00 -2.57  0.14 -1.55 -1.44 -0.95 Djibouti, Tadjoura                      
TEND   11.7925   41.0043   0.419   27    9    6   15   57 -0.65 -0.80 -0.55 -1.19 -0.81 -0.96 Ethiopia, Ethiopian                     
TRBA   13.2310   44.1150   1.860    5   69  171   50  295  0.65 -0.05  0.01 -0.28 -0.05 -0.43 Yemen, At                               
TRUE   12.4841   40.3161   0.377    4   18    2    3   27 -1.79 -0.74  3.07 -1.36 -0.68 -1.20 Ethiopia, Teru                          
TRUE2  12.4812   40.3148   0.378    0   31    0    0   31  0.00 -0.69  0.00  0.00 -0.69 -0.48 Ethiopia, AFAR09-11,                    
UDY    13.9670   43.9900   1.313    0    0    2    0    2  0.00  0.00  0.31  0.00  0.31  0.70 Yemen, Yemen,                           
UDYN   13.9670   43.9670   1.370    7  207  344   63  621 -0.79  0.36  0.15 -0.21  0.18 -0.51 Yemen, Al                               
WLDE   11.8243   39.5874   1.879    5    0    0    0    5 -0.89  0.00  0.00  0.00 -0.89 -1.42 Ethiopia, Waldi                         
WNDE    7.0979   38.6349   1.841    9    0    0    0    9 -0.29  0.00  0.00  0.00 -0.29  0.46 Ethiopia, Wendo                         
WUCE   11.5116   39.6064   1.912    3    0    0    0    3 -0.54  0.00  0.00  0.00 -0.54 -1.03 Ethiopia, Wuchale                       
ZUQR   13.9848   42.7508   0.171    0   18    1    0   19  0.00  0.34  1.67  0.00  0.41 -0.97 Yemen, Zugar                            
